ST	arcC	aroE	glpF	gmk	pta	tpi	yqiL
2526	275	75	237	44	13	68	270
2527	275	75	6	1	11	1	40
2528	275	75	237	122	13	3	270
2529	275	75	237	44	13	68	281
2530	275	45	310	1	274	195	11
2531	275	361	310	1	274	1	11
2532	274	75	237	2	11	5	282
2533	274	75	237	105	11	1	283
2534	274	75	237	2	11	5	3
2535	284	14	8	6	10	3	2
2536	2	2	2	2	6	279	2
2537	285	14	8	6	10	3	2
2538	286	4	1	4	12	1	10
2539	287	4	1	4	12	1	10
2540	288	14	8	6	4	3	2
2541	4	1	4	1	5	280	4
2542	4	1	4	1	5	280	5
2543	1	3	1	8	11	5	288
2544	3	3	1	1	4	1	289
2545	289	370	1	4	12	1	10
2546	10	14	8	6	10	3	287
2547	4	1	4	1	276	5	4
2548	282	14	8	6	10	3	287
2549	10	368	8	6	10	3	2
2550	18	18	6	195	13	15	18
2551	18	103	6	9	13	15	18
2552	283	369	19	2	20	26	39
2553	10	14	317	6	10	214	2
2554	3	4	1	19	36	4	3
2555	3	59	1	1	4	4	11
2556	10	3	1	1	187	278	11
2557	1	4	93	169	4	1	11
2558	13	3	1	1	12	4	3
2559	1	31	1	1	6	4	11
2560	3	3	132	1	4	4	3
2561	10	40	8	6	19	3	2
2562	290	4	1	4	12	1	10
2563	1	3	1	196	11	51	10
2564	275	75	310	193	274	195	11
2565	275	75	237	193	274	99	3
2566	275	361	310	194	274	195	11
2567	275	45	310	193	274	195	11
2568	275	75	237	193	274	1	3
2569	275	361	310	194	274	277	11
2570	274	75	237	105	274	1	283
2571	3	31	1	4	4	44	3
2572	3	1	1	8	277	1	1
2573	6	193	45	2	7	58	290
2574	291	193	45	2	7	58	52
2575	6	56	6	2	7	14	5
2576	6	5	318	2	7	14	5
2577	6	5	6	2	278	14	5
2578	3	124	1	1	279	1	40
2579	292	23	15	2	19	20	15
2580	293	2	2	2	6	3	291
2581	1	372	1	4	12	1	10
2582	2	3	319	1	4	4	3
2583	1	1	1	197	1	1	1
2584	22	1	14	23	280	4	31
2585	1	4	1	4	281	1	10
2586	2	3	1	1	282	4	3
2587	2	3	1	1	283	4	3
2588	2	3	1	1	4	281	3
2589	2	3	1	1	4	4	292
2590	1	4	1	4	12	1	293
2591	19	23	15	2	19	20	294
2592	1	1	1	1	1	1	295
2593	3	3	1	1	1	1	296
2594	1	4	320	4	12	1	10
2595	2	2	2	2	285	2	2
2596	151	123	321	34	256	261	49
2597	3	1	1	93	1	5	3
2598	2	2	2	6	2	3	2
2599	1	31	1	4	12	1	28
2600	10	14	8	6	161	240	2
2601	294	1	37	15	11	1	40
2602	36	1	43	34	107	116	105
2603	202	373	239	18	213	283	298
2604	2	3	1	198	4	4	3
2605	1	4	1	1	12	1	3
2606	295	11	8	6	10	3	2
2607	1	4	322	4	12	1	10
2608	1	4	1	4	12	24	299
2609	2	3	1	1	286	4	3
2610	19	23	15	103	19	20	15
2611	1	4	1	4	12	1	300
2612	2	2	2	2	6	3	301
2613	1	374	1	4	12	1	10
2614	1	375	28	18	18	33	50
2615	296	4	1	1	12	1	10
2616	8	33	323	2	10	50	5
2617	36	123	43	34	107	116	105
2618	4	1	4	199	5	5	4
2619	6	5	6	2	6	3	2
2620	6	57	45	2	288	58	57
2621	203	373	324	27	289	220	303
2622	1	376	1	200	1	1	1
2623	3	3	1	66	4	19	3
2624	1	123	1	1	12	1	40
2625	1	377	1	4	12	1	10
2626	1	4	325	4	12	1	10
2627	297	4	1	4	12	1	28
2628	1	378	1	4	12	1	10
2629	1	4	1	4	12	284	10
2630	3	3	1	201	1	1	10
2631	4	168	1	8	290	10	8
2632	5	31	1	4	4	6	3
2633	1	4	1	4	12	285	10
2634	3	379	19	2	20	26	39
2635	298	1	1	202	1	1	1
2636	7	6	326	5	8	8	6
2637	12	371	111	1	4	5	90
2638	8	2	2	2	6	3	297
2639	12	89	111	1	4	5	90
2640	18	33	6	20	7	282	48
2641	8	55	45	2	109	14	5
2642	3	3	1	1	4	4	305
2643	301	3	1	1	4	4	3
2644	18	18	6	2	13	286	18
2645	3	3	1	1	4	4	306
2646	3	3	328	1	4	4	3
2647	22	1	329	23	12	4	31
2648	3	27	1	1	1	1	307
2649	300	2	2	2	6	3	2
2650	302	3	1	1	4	4	3
2651	3	385	1	1	4	4	3
2652	10	14	330	6	10	3	308
2653	1	4	8	4	12	1	40
2654	10	4	1	15	12	1	10
2655	1	14	1	6	10	3	2
2656	303	3	1	1	4	4	3
2657	304	152	331	1	12	4	309
2658	3	35	19	2	292	26	39
2659	1	4	1	4	12	1	310
2660	3	3	1	1	4	4	312
2661	1	387	1	4	12	1	10
2662	46	75	1	1	13	68	60
2663	46	75	49	1	12	68	60
2664	3	388	1	1	1	5	3
2665	2	75	2	2	3	3	2
2666	13	13	1	1	12	11	313
2667	8	2	2	2	6	3	122
2668	3	1	1	1	233	99	3
2669	305	18	6	2	13	15	7
2670	1	4	1	205	12	1	10
2671	6	380	6	18	62	70	304
2672	3	78	1	203	1	5	3
2673	6	381	45	18	10	14	52
2674	1	4	327	4	12	1	54
2675	299	33	6	20	7	50	48
2676	6	382	45	2	7	58	52
2677	6	66	46	204	91	50	18
2678	202	383	239	66	12	220	198
2679	6	384	113	83	7	114	102
2680	2	2	2	1	291	3	72
2681	10	40	8	6	284	3	2
2682	6	389	46	2	7	50	18
2683	52	386	54	18	56	32	65
2684	3	35	19	2	20	26	311
2685	10	14	332	6	10	3	2
2686	1	4	333	4	12	1	10
2687	60	1	334	1	1	1	1
2688	12	1	1	15	11	1	314
2689	1	4	1	4	293	1	10
2690	1	4	1	4	12	11	10
2691	6	79	12	2	7	13	153
2692	3	1	1	1	294	287	3
2693	8	2	2	6	6	3	2
2694	6	18	6	59	13	15	18
2695	2	271	2	6	6	3	2
2696	6	5	6	6	7	14	5
2697	19	23	15	2	19	288	15
2698	22	1	14	109	12	53	31
2699	306	2	2	2	6	3	2
2700	4	1	1	14	1	1	1
2701	1	1	1	1	12	1	13
2702	6	5	6	2	7	14	315
2703	12	4	1	4	12	1	316
2704	1	4	335	4	12	1	10
2705	2	390	2	2	6	3	2
2706	2	2	2	2	6	289	2
2707	2	2	2	2	295	2	2
2708	1	4	1	4	296	1	10
2709	46	75	49	44	13	68	317
2710	18	95	45	206	7	15	5
2711	12	3	1	1	297	4	3
2712	3	1	1	1	298	5	3
2713	63	1	1	1	22	1	1
2714	3	391	1	15	100	1	10
2715	10	14	23	19	10	3	2
2716	7	59	1	105	247	5	6
2717	6	57	1	105	247	5	6
2718	2	3	1	1	300	4	3
2719	1	26	336	18	18	33	50
2720	3	1	1	1	299	291	3
2721	308	392	230	207	301	189	184
2722	3	124	1	1	1	1	318
2723	19	23	15	2	19	292	15
2724	1	26	337	18	18	33	50
2725	1	1	41	1	1	1	1
2726	309	5	6	2	7	14	5
2727	1	102	1	4	12	1	319
2728	8	71	338	2	7	58	2
2729	307	35	19	2	20	26	39
2730	13	13	1	1	302	11	13
2731	151	23	20	101	145	150	131
2732	2	3	1	2	4	4	3
2733	4	4	1	4	11	293	10
2734	3	35	339	19	20	26	39
2735	19	122	340	2	13	89	15
2736	310	13	1	1	12	11	13
2737	311	394	11	2	13	12	14
2738	1	395	1	105	11	4	10
2739	1	396	1	4	12	1	10
2740	1	397	1	4	12	1	10
2741	10	14	8	209	14	3	2
2742	1	4	341	8	4	4	3
2743	7	6	19	2	8	26	39
2744	10	393	6	2	260	58	2
2745	312	6	1	5	8	8	6
2746	10	14	342	6	10	3	2
2747	1	398	1	4	12	276	10
2748	10	14	8	6	303	3	2
2749	2	2	2	208	6	3	2
2750	1	4	1	4	12	1	3
2751	313	23	15	2	19	20	15
2752	6	2	46	2	7	50	18
2753	2	2	2	2	304	3	2
2754	13	149	1	1	305	11	13
2755	314	4	1	4	12	1	10
2756	1	4	1	4	12	1	320
2757	315	399	1	2	11	294	3
2758	2	2	2	210	168	3	2
2759	3	35	19	2	20	295	39
2760	3	1	132	8	1	1	1
2761	18	146	45	2	13	297	5
2762	371	64	44	2	43	55	51
2763	1	1	345	1	1	1	1
2764	1	1	346	1	1	1	1
2765	1	4	347	8	4	4	3
2766	316	291	6	2	7	225	5
2767	102	146	6	18	7	50	48
2768	3	35	19	2	20	296	39
2769	3	35	343	2	20	26	39
2770	1	3	1	4	12	1	321
2771	4	1	4	171	5	5	4
2772	3	35	344	2	20	26	39
2773	5	400	1	4	4	6	3
2774	19	401	15	2	19	20	15
2775	4	402	1	1	11	72	11
2776	1	4	1	4	119	113	10
2777	1	4	348	4	12	1	10
2778	1	4	1	4	73	1	10
2779	1	4	1	4	12	1	17
2780	1	403	1	1	1	1	1
2781	3	1	1	1	1	298	3
2782	6	5	6	2	7	14	322
2783	3	37	19	2	306	26	32
2784	3	392	1	8	1	1	1
2785	3	1	14	15	307	19	3
2786	18	71	350	2	7	58	2
2787	3	1	14	15	11	299	3
2788	267	404	1	8	1	1	1
2789	1	49	178	1	1	1	1
2790	263	405	309	44	228	68	281
2791	3	1	1	8	12	1	1
2792	3	35	351	2	20	26	39
2793	151	406	321	34	256	261	323
2794	1	1	1	211	1	1	1
2795	13	13	352	1	12	11	13
2796	299	18	6	2	13	15	18
2797	4	1	4	212	5	5	4
2798	6	5	6	2	7	14	324
2799	1	4	1	8	308	4	3
2800	19	23	15	2	19	300	15
2801	3	3	1	213	4	4	3
2802	3	3	1	1	4	4	325
2803	263	407	309	44	13	220	281
2804	12	4	1	4	12	1	8
2805	4	1	4	1	5	5	3
2806	12	4	1	4	12	1	4
2807	19	401	15	2	19	20	8
2808	19	23	15	2	19	20	39
2809	1	4	357	4	12	1	10
2810	1	408	28	18	18	33	50
2811	3	3	1	1	282	4	3
2812	2	2	2	2	6	3	327
2813	22	1	14	23	12	301	31
2814	12	409	1	4	12	1	3
2815	16	410	12	2	13	13	15
2816	1	68	359	15	310	5	2
2817	1	14	360	214	10	303	329
2818	1	4	1	4	311	1	10
2819	3	35	19	215	20	26	39
2820	1	4	361	4	12	1	10
2821	6	66	353	2	7	50	18
2822	6	262	46	2	7	50	18
2823	6	72	354	43	52	67	59
2824	3	1	355	1	1	5	3
2825	1	4	1	4	12	1	326
2826	3	1	1	1	309	5	3
2827	317	16	356	2	13	13	15
2828	1	331	1	4	12	1	10
2829	12	1	1	105	1	1	1
2830	1	4	1	4	233	1	10
2831	2	3	15	1	4	4	3
2832	19	23	15	48	4	20	15
2833	5	4	114	4	4	6	3
2834	3	411	14	15	11	19	3
2835	1	1	1	1	1	1	331
2836	1	43	1	4	313	1	54
2837	1	412	1	4	12	1	10
2838	3	413	1	1	4	4	332
2839	3	3	1	1	4	4	333
2840	3	3	1	1	4	4	334
2841	19	23	15	2	19	20	335
2842	19	23	15	2	19	305	15
2843	10	40	8	6	10	3	336
2844	19	23	15	2	314	20	15
2845	10	40	8	216	10	3	2
2846	1	414	1	4	12	1	10
2847	318	1	1	1	1	1	1
2848	2	415	1	1	4	4	3
2849	3	1	1	15	100	1	10
2850	3	416	19	2	20	26	39
2851	1	417	1	1	1	1	1
2852	13	13	1	1	12	11	337
2853	1	43	1	4	12	1	319
2854	36	406	321	34	287	52	302
2855	12	1	1	15	11	1	338
2856	1	1	362	1	1	1	331
2857	19	418	15	2	19	20	15
2858	2	2	363	2	6	3	2
2859	4	1	4	1	315	5	4
2860	10	14	8	6	10	3	339
2861	13	13	364	1	12	11	13
2862	2	419	2	2	6	3	2
2863	10	14	8	217	10	3	2
2864	2	2	365	2	6	3	2
2865	13	13	1	218	12	11	13
2866	3	35	19	2	316	26	39
2867	1	152	1	8	1	5	11
2868	2	420	2	2	6	3	2
2869	1	4	1	8	317	4	3
2870	1	4	1	4	12	1	340
2871	13	421	1	1	12	11	13
2872	3	422	19	2	20	26	341
2873	1	423	1	1	1	1	1
2874	13	13	1	126	12	11	13
2875	321	1	1	1	1	1	1
2876	277	40	8	6	10	3	342
2877	7	6	1	5	8	8	343
2878	1	3	1	8	11	5	344
2879	2	2	2	2	6	307	2
2880	6	5	6	2	7	14	345
2881	8	2	2	219	6	3	2
2882	12	43	1	4	12	1	3
2883	1	4	1	4	12	25	346
2884	22	1	14	220	12	4	31
2885	4	4	1	1	1	1	11
2886	12	424	37	15	11	1	40
2887	322	13	1	1	12	10	13
2888	323	2	2	2	6	3	2
2889	324	2	2	2	6	3	2
2890	326	4	1	4	12	1	10
2891	325	2	2	2	6	3	350
2892	7	426	1	5	8	8	6
2893	7	427	1	5	8	8	6
2894	7	428	1	5	8	8	6
2895	4	429	4	1	5	5	4
2896	2	425	2	2	6	3	2
2897	2	430	2	2	6	3	2
2898	111	2	2	2	6	3	2
2899	6	193	45	2	7	58	355
2900	7	6	154	5	8	8	6
2901	2	2	371	2	6	3	2
2902	10	14	366	6	10	3	2
2903	10	14	368	6	10	3	2
2904	10	14	369	6	10	3	2
2905	1	4	370	4	12	1	10
2906	19	23	367	2	19	20	15
2907	1	3	1	224	11	5	11
2908	7	6	1	221	8	8	6
2909	7	6	1	21	8	8	6
2910	7	6	1	223	8	8	6
2911	1	1	1	1	319	1	1
2912	3	1	1	8	322	1	1
2913	3	1	1	8	309	1	1
2914	7	6	1	5	323	8	6
2915	7	6	1	5	324	8	6
2916	7	6	1	5	328	8	6
2917	2	2	2	2	326	3	2
2918	8	2	2	2	320	3	2
2919	3	3	1	1	318	4	3
2920	3	3	1	1	321	4	3
2921	3	3	1	1	322	4	3
2922	1	1	1	1	1	169	1
2923	1	3	1	8	11	309	11
2924	1	3	1	8	11	257	11
2925	7	6	1	5	8	308	6
2926	7	6	1	5	8	316	6
2927	10	11	8	6	10	311	2
2928	1	4	1	4	12	314	10
2929	3	3	1	1	4	312	3
2930	3	3	1	1	4	317	3
2931	3	3	1	1	1	310	10
2932	3	1	1	1	1	313	3
2933	23	321	269	160	1	315	40
2934	3	27	1	1	1	1	356
2935	7	6	1	5	8	8	351
2936	2	2	2	2	6	3	354
2937	2	2	2	2	3	3	347
2938	2	2	2	2	3	3	348
2939	2	2	2	2	3	3	352
2940	10	11	8	6	10	3	353
2941	1	4	1	4	12	1	349
2942	1	431	1	4	12	41	10
2943	22	2	14	23	327	4	31
2944	6	57	45	2	7	318	52
2945	4	3	372	1	11	72	64
2946	320	303	373	143	312	211	357
2947	22	1	14	23	329	4	31
2948	3	114	1	1	4	319	3
2949	2	2	2	2	6	146	358
2950	7	6	1	5	8	8	359
2951	3	3	57	104	4	4	67
2952	327	23	15	2	19	20	15
2953	1	432	1	1	12	1	1
2954	2	2	2	2	6	3	330
2955	319	4	1	4	4	4	3
2956	1	4	1	4	12	304	29
2957	2	2	2	2	6	306	2
2958	2	2	2	2	6	320	2
2959	6	5	1	2	7	14	5
2960	2	2	2	2	6	268	2
2961	19	433	15	2	19	20	15
2962	19	23	15	225	19	20	15
2963	6	79	6	2	13	50	48
2964	10	47	22	26	26	321	2
2965	1	26	28	226	18	33	27
2966	328	35	48	19	20	26	39
2967	1	4	374	4	12	1	10
2968	329	1	14	15	11	19	3
2969	6	5	375	2	7	14	5
2970	227	1	1	15	330	293	360
2971	3	38	1	1	1	11	40
2972	3	37	19	2	20	26	39
2973	2	2	2	6	6	3	361
2974	6	434	6	2	7	14	5
2975	1	4	1	4	331	1	10
2976	6	5	6	2	7	322	5
2977	10	47	8	227	26	32	2
2978	3	35	376	2	20	26	39
2979	6	64	44	2	398	55	51
2980	1	435	1	1	1	1	1
2981	1	1	1	1	1	323	1
2982	19	23	15	96	19	20	15
2983	12	1	1	105	1	324	1
2984	1	3	1	8	4	5	35
2985	3	1	1	8	1	109	1
2986	13	13	1	12	12	11	13
2987	3	68	1	4	1	5	3
2988	330	68	1	4	1	5	40
2989	1	4	8	8	10	4	329
2990	1	1	1	1	330	1	10
2991	5	4	377	4	4	6	3
2992	3	1	378	1	1	5	3
2993	331	3	379	1	4	4	3
2994	332	2	2	2	6	3	2
2995	333	2	2	2	6	3	2
2996	334	2	2	2	6	3	2
2997	335	23	15	2	19	20	15
2998	336	13	1	1	12	11	13
2999	1	436	1	4	12	1	28
3000	3	3	380	1	4	4	3
3001	3	3	381	1	4	4	3
3002	1	4	382	8	4	4	3
3003	63	4	383	4	12	1	28
3004	1	4	384	4	12	1	10
3005	1	4	1	228	12	1	10
3006	1	4	1	4	333	1	10
3007	3	3	1	1	334	4	3
3008	3	3	1	1	335	4	3
3009	10	14	8	6	10	325	2
3010	3	3	1	1	4	4	365
3011	4	429	4	1	5	5	366
3012	2	2	2	2	6	3	367
3013	13	13	1	186	12	11	13
3014	1	304	1	4	12	1	10
3015	22	3	1	1	4	4	3
3016	10	14	8	6	10	3	348
3017	10	40	8	6	10	98	2
3018	1	4	127	4	12	1	10
3019	10	14	8	6	10	3	368
3020	3	317	385	1	1	5	3
3021	3	78	386	1	1	5	3
3022	337	78	1	1	1	5	3
3023	10	437	8	6	10	3	2
3024	3	438	1	1	1	5	3
3025	6	72	50	43	49	67	369
3026	6	72	12	43	49	67	370
3027	6	72	12	43	49	152	59
3028	3	317	1	184	1	5	3
3029	338	89	1	4	336	303	11
3030	12	1	1	15	11	26	338
3031	19	23	15	230	19	20	15
3032	340	3	1	14	11	51	10
3033	14	33	45	18	340	50	371
3034	14	439	11	2	13	12	372
3035	4	1	389	1	5	5	4
3036	3	440	14	15	11	19	3
3037	341	1	1	1	1	5	3
3038	1	3	390	8	11	5	11
3039	342	3	1	1	4	4	3
3040	12	4	1	4	341	1	3
3041	1	3	1	8	342	5	374
3042	18	146	45	18	343	329	375
3043	10	14	8	6	10	3	376
3044	6	57	45	2	7	95	377
3045	18	95	45	2	7	15	52
3046	6	66	46	2	344	50	18
3047	18	33	6	20	7	330	48
3048	6	441	6	2	7	14	5
3049	151	6	20	101	145	150	131
3050	10	4	8	6	10	3	2
3051	3	3	391	1	4	4	3
3052	4	9	1	8	1	331	378
3053	343	3	1	1	4	4	3
3054	13	13	1	1	12	328	13
3055	13	13	370	1	12	11	13
3056	10	35	19	2	332	26	39
3057	344	1	1	1	1	1	1
3058	6	66	392	2	7	50	18
3059	1	4	1	4	12	332	10
3060	10	14	8	6	10	92	2
3061	6	57	393	2	215	58	52
3062	3	35	19	2	10	26	2
3063	6	442	6	2	7	14	5
3064	8	2	2	2	6	3	379
3065	3	4	1	4	12	1	39
3066	1	35	1	4	12	1	10
3067	1	4	15	4	12	1	10
3068	19	23	15	2	1	20	15
3069	19	23	15	2	12	20	15
3070	2	3	1	1	19	4	3
3071	3	35	19	231	20	26	39
3072	53	14	8	6	10	3	2
3073	3	1	1	8	345	1	1
3074	345	4	1	4	12	1	10
3075	1	423	1	21	1	333	40
3076	1	443	1	1	1	1	1
3077	3	1	1	1	1	5	380
3078	3	1	1	1	346	5	3
3079	3	3	1	1	347	4	3
3080	6	66	46	2	7	5	18
3081	3	4	1	4	12	1	10
3082	6	66	72	43	7	67	59
3083	6	57	45	2	7	15	52
3084	3	78	1	1	1	32	3
3085	1	1	1	1	1	5	3
3086	10	47	8	232	26	32	2
3087	346	1	1	1	1	5	3
3088	347	4	1	4	12	25	10
3089	349	57	45	2	7	58	52
3090	18	444	260	18	7	223	5
3091	18	445	260	18	7	223	5
3092	18	446	6	20	7	50	48
3093	6	447	46	2	91	50	18
3094	6	448	45	2	7	58	52
3095	6	449	45	2	7	58	52
3096	3	450	19	2	20	26	39
3097	18	33	394	20	7	50	48
3098	8	2	395	2	6	3	2
3099	6	72	396	43	49	67	59
3100	6	79	397	7	7	70	61
3101	3	35	398	2	20	26	39
3102	3	35	399	2	20	26	39
3103	1	1	372	1	1	1	1
3104	18	1	1	233	1	5	3
3105	18	33	228	234	7	50	48
3106	14	16	11	235	13	12	14
3107	6	57	45	236	7	58	52
3108	6	57	45	237	7	58	52
3109	3	1	1	238	1	5	3
3110	3	1	1	239	1	5	3
3111	182	57	45	2	348	58	52
3112	18	1	1	1	349	5	3
3113	7	6	1	5	350	8	6
3114	6	57	45	2	351	58	52
3115	6	57	45	2	352	58	52
3116	4	1	4	1	353	5	4
3117	1	1	1	9	354	1	1
3118	1	4	1	8	355	4	3
3119	18	153	260	18	7	334	5
3120	18	33	6	20	7	335	48
3121	14	16	11	2	13	336	14
3122	7	6	1	5	8	337	6
3123	6	57	45	2	7	338	52
3124	6	57	45	2	7	339	52
3125	3	1	1	1	1	340	3
3126	3	37	19	2	20	341	32
3127	18	1	1	1	1	5	381
3128	14	16	11	2	13	12	382
3129	3	3	1	1	4	4	383
3130	1	4	1	4	12	1	384
3131	6	57	45	2	7	58	385
3132	6	57	45	2	7	58	386
3133	6	57	45	2	7	58	387
3134	6	72	12	43	49	67	388
3135	349	357	400	240	356	342	389
3136	7	6	218	5	8	8	6
3137	6	66	46	176	7	50	18
3138	6	57	45	2	288	58	52
3139	6	57	45	2	99	58	52
3140	6	72	72	43	52	152	59
3141	1	1	164	1	1	1	1
3142	1	4	1	8	1	51	11
3143	2	2	2	2	6	68	162
3144	6	5	6	2	7	199	5
3145	8	7	6	2	9	343	7
3146	7	547	1	5	8	8	6
3147	3	3	45	1	4	4	3
3148	14	33	1	18	7	50	373
3149	6	5	401	2	7	14	5
3150	6	5	6	2	357	14	5
3151	3	35	402	2	20	26	39
3152	3	35	19	2	358	26	39
3153	3	451	19	2	20	26	39
3154	10	14	8	6	359	3	2
3155	3	3	1	8	1	1	1
3156	3	1	15	8	1	1	1
3157	5	4	15	4	4	6	3
3158	12	4	361	4	12	1	3
3159	12	1	1	1	4	4	3
3160	19	23	15	2	360	20	15
3161	2	2	403	2	6	3	2
3162	1	4	404	4	12	1	10
3163	2	2	2	2	6	344	2
3164	1	452	1	4	12	1	10
3165	2	453	2	2	6	3	2
3166	1	4	1	4	12	1	390
3167	350	3	1	1	4	4	3
3168	3	35	405	2	20	26	39
3169	18	1	45	2	7	15	5
3170	3	1	406	1	1	5	3
3171	6	72	12	241	49	67	59
3172	3	1	406	1	1	5	391
3173	18	1	1	1	1	5	392
3174	6	179	12	43	49	67	393
3175	18	1	1	1	1	5	394
3176	351	1	280	1	20	5	395
3177	10	14	407	6	10	3	2
3178	10	14	408	6	10	3	2
3179	10	14	409	6	10	3	2
3180	6	5	6	242	7	14	5
3181	3	3	1	1	361	345	3
3182	352	14	8	13	10	3	2
3183	3	1	1	1	1	346	3
3184	353	66	46	2	7	50	18
3185	22	454	14	23	12	4	31
3186	19	455	15	2	19	20	15
3187	19	23	410	2	19	20	15
3188	19	23	411	2	19	20	15
3189	19	23	15	2	19	20	396
3190	1	3	1	1	1	4	3
3191	19	23	15	2	19	347	15
3192	1	233	1	8	12	1	10
3193	19	457	15	2	19	20	15
3194	1	4	1	4	362	1	10
3195	19	458	15	2	19	20	15
3196	1	4	412	4	12	1	10
3197	7	6	1	5	8	348	6
3198	1	4	1	4	12	1	397
3199	22	1	14	23	12	4	398
3200	1	1	413	1	12	1	1
3201	7	6	111	5	363	8	6
3202	13	459	1	1	12	11	13
3203	5	460	1	4	4	6	3
3204	13	461	1	1	12	11	13
3205	19	23	15	2	364	20	15
3206	1	1	1	1	4	4	1
3207	3	35	19	2	20	26	399
3208	1	1	414	1	1	1	1
3209	3	35	415	2	20	26	39
3210	3	1	1	1	1	350	3
3211	7	462	1	5	8	8	6
3212	102	146	416	18	7	50	48
3213	6	5	6	2	365	14	5
3214	12	4	1	4	12	1	400
3215	3	3	1	1	4	4	227
3216	13	13	362	1	12	11	13
3217	1	3	1	14	11	351	10
3218	1	4	417	4	12	1	10
3219	18	1	26	1	1	5	3
3220	251	66	418	2	7	50	2
3221	3	1	1	1	1	5	391
3222	6	79	419	243	367	50	401
3223	18	33	6	20	7	50	402
3224	354	256	358	66	221	302	328
3225	6	146	66	47	366	70	153
3226	3	35	19	2	20	352	39
3227	3	463	19	2	20	26	39
3228	1	4	420	4	12	25	10
3229	1	1	421	1	22	1	1
3230	2	3	1	1	4	4	403
3231	19	23	15	2	19	20	404
3232	10	14	422	6	368	3	2
3233	10	464	8	6	10	3	2
3234	22	1	14	23	12	26	31
3235	1	1	1	9	1	1	405
3236	3	3	1	244	1	353	10
3237	6	380	6	18	62	70	406
3238	18	66	46	2	369	50	2
3239	1	4	1	4	1	1	1
3240	151	325	260	34	175	180	169
3241	22	1	14	23	22	4	31
3242	2	3	1	1	22	4	3
3243	1	1	1	1	1	354	1
3244	12	4	1	4	370	1	3
3245	3	3	296	1	1	19	10
3246	1	4	1	4	12	355	10
3247	1	3	1	14	11	356	10
3248	1	465	1	1	1	1	1
3249	13	13	1	1	371	11	13
3250	6	5	6	2	7	14	407
3251	1	224	1	8	4	4	3
3252	6	291	6	2	7	225	408
3253	12	4	423	4	12	1	3
3254	355	2	2	2	6	3	72
3255	102	146	45	129	7	110	2
3256	1	3	424	8	11	5	11
3257	3	1	429	1	1	5	3
3258	3	468	1	1	1	5	3
3259	12	36	428	246	1	27	10
3260	19	23	15	2	375	20	15
3261	151	469	20	101	145	150	131
3262	12	3	1	1	4	4	410
3263	3	470	19	2	20	357	39
3264	22	1	14	23	376	4	31
3265	1	4	1	247	12	1	10
3266	10	40	8	248	10	3	2
3267	2	471	2	2	6	3	2
3268	1	14	430	214	10	303	329
3269	6	66	46	2	372	50	18
3270	6	66	46	2	373	50	18
3271	12	20	6	14	11	32	2
3272	6	72	12	43	377	67	59
3273	3	78	431	1	1	5	3
3274	3	1	1	37	378	5	3
3275	3	114	1	1	4	4	3
3276	3	473	1	1	4	4	3
3277	3	3	1	1	4	4	411
3278	356	23	15	2	19	20	15
3279	1	4	1	8	4	359	3
3280	1	4	1	4	12	1	412
3281	2	2	432	2	6	3	2
3282	2	2	2	176	6	3	2
3283	1	1	1	1	257	1	1
3284	10	14	8	6	10	87	2
3285	3	35	19	167	20	26	39
3286	3	3	1	1	4	4	413
3287	3	474	1	1	4	4	3
3288	10	14	8	6	10	360	2
3289	10	47	433	26	26	32	2
3290	10	475	8	6	10	3	2
3291	19	23	15	2	379	20	15
3292	10	14	8	6	208	3	2
3293	6	476	6	2	7	14	5
3294	1	4	1	4	380	1	10
3295	6	5	6	2	104	14	5
3296	1	1	1	58	1	1	1
3297	1	4	1	8	4	4	414
3298	3	3	1	1	4	358	3
3299	10	14	8	6	10	3	415
3300	3	3	1	1	4	4	2
3301	12	36	428	8	1	27	10
3302	12	36	435	8	1	27	10
3303	151	5	215	34	175	180	169
3304	163	1	1	1	1	1	1
3305	19	493	15	2	19	20	15
3306	7	494	1	5	8	8	6
3307	1	1	445	1	12	1	1
3308	372	64	44	2	43	55	51
3309	6	64	44	2	399	55	51
3310	3	3	1	1	4	368	3
3311	3	3	1	1	400	4	3
3312	1	4	446	4	12	1	10
3313	7	6	1	5	450	8	6
3314	3	3	1	1	4	369	3
3315	373	3	1	1	4	4	3
3316	3	495	1	1	4	4	3
3317	3	3	1	1	4	370	3
3318	1	4	1	4	12	417	10
3319	3	3	1	279	1	1	10
3320	3	35	19	249	20	26	39
3321	2	2	2	250	2	2	2
3322	6	64	447	2	43	55	51
3323	1	1	1	4	4	4	10
3324	2	3	1	1	413	4	3
3325	6	64	44	2	43	371	51
3326	151	325	448	34	175	180	169
3327	7	6	503	5	8	8	6
3328	1	3	1	280	11	5	11
3329	3	3	1	1	401	4	3
3330	3	3	449	1	4	4	3
3331	3	3	1	282	1	1	10
3332	3	35	19	2	402	26	39
3333	374	35	19	2	20	26	39
3334	3	35	19	2	403	26	39
3335	3	3	1	12	404	4	16
3336	3	3	510	1	1	1	10
3337	3	564	1	1	1	1	10
3338	375	32	1	1	4	4	3
3339	151	483	215	34	175	180	169
3340	213	41	8	6	10	3	2
3341	377	3	1	1	4	4	3
3342	3	3	1	1	4	72	3
3343	3	3	1	251	4	4	3
3344	3	3	1	1	4	372	3
3345	3	3	450	1	4	4	3
3346	3	3	444	1	4	4	3
